title,body,date
Very bad,"We stayed at Iberostar for our 2-day visit in Trinidad. We originally booked 2 rooms for my family and friends. However,by the time we check in, we were been told that one of the room got moved to another hotel. Without notifying us ahead nor did they asked for our consent, we were simply being told and asked to do what they have decided for us. We were really confused why were we not able to stay in the the room that we have prebooked 2 months ago. Gala hotel’s explanation was that the hotel is full !!! How come we  booked 2 rooms when they only had one room available? Very disappointed with their explanation and two of us ended up living apart from our friends and in a hotel that does not our standards or needs.","Date of experience: March 26, 2018"
Oh to have found this place sooner.,"On previous occassions we saw deals for The Alexander Thomson we never even looked at it we just bypassed them. When we received an email from Gala Hotels giving an offer we would be silly to refuse we chose The Alexander Thomson Hotel central for most places.When we arrived around 14.00hrs we were checked in very quickly and given room 513. We took one of the two lifts to the fifth floor found our room,on opening the door the room was enormous 16ft high ceiling  about 15ft by 15ft the bed was on a raised platform, there was a red leather sofa and 1 red leather chair. The TV was about 40"" with all channels, there was free wifi throughout the hotel. The bathroom had a bath and over the bath shower and again this room was also very large.We were booked in for dinner at The Grand Central Hotel just round the corner of Hope Street. Having finished dinner we returned to our hotel had a few drinks which were very resonable priced £2 for Gordons Gin. and various other drinks on offer.When we got back to our room the room was very cold on checking the radiator it was up at 7 but no heat at all. So Ann my wife telephoned down to ask if there was a problem with the heating and were told that someone would come up right away. Low and behold the heating started working and never stopped all weekend, we let the reception know that the heating was now working.Breakfast, well where do we start, you were taken to your seat and the breakfast explained the hot dishes were never allowed to go empty not like your national chains where you have to ask for more like poor Oliver.They were always topped up with everthing fresh. You could get porridge, Poached eggs or scrambled eggs. There was fresh meats,cheese,yoghurt. If you can's find anything to satisfy your rumbling tums then your being fussy.We were there 3 nights and had a very enjoyable time we will be back.Hey don't take our word for how great The Alexander Thomson give it a try Gala Hotels.com","Date of experience: March 25, 2018"
Excellent hotel everything is nice.,No body text,"Date of experience: March 25, 2018"
BAD EXPERIENCE,"It was a very long welcoming at first. Staff is not helpful at all :I booked a luxury bungalow in front of the beach with a nice room, with sea view, Instead of that, it has been replaced by a 4-room-logement. By the way, it was a dirty and a not so well provided room in equipement and far away from the sea.I am extremally desappointed because my booking room was very expensive and i was expecting this moment a lot on this place.Receptionist was not really helping us and do not really carre about us. We had to negociate any kind of compensation for the inconvenience caused whereas it should have been done by themselves without asking anything. Also, receptionist was a bit laughing at us which is really disrespectful and we really did not appreciate the way he managed the situation and his behaviour.I will not recommend this place to anyone. We clearly see that this is not Cuban people into the staff but foreigners !","Date of experience: March 25, 2018"
I have make reservations with…,I have make reservations with GalaHotels.com many times. I have never had any problems. Prices are always the best compared to other agencies.I recommend GalaHotels.,"Date of experience: March 25, 2018"
In February I book at room for my wife…,"In February I book at room for my wife and I.  When I got the confirmation letter from Gala, I realized that the date was off a few days from when I actually needed the room.  I immediately sent an e-mail that same day to the hotel and asked to change the date to coincide with my revised cruise schedule.  The Gala reply was that I couldn't change the date and would be charged for the room regardless of whether or not I used it.  Needless to say, I made new reservations with the Park Inn by Radisson in Copenhagen.  I reluctantly paid the Gala charge, but I certainly am not about to recommend the hotel to anyone else.","Date of experience: March 25, 2018"
Perfect room,"Perfect room, very friendly and helpful personnel, not a single complaint!","Date of experience: March 25, 2018"
"you want to loose money, go ahead","I made a hotel reservation, prepaid and got a confirmation and coupon.Then I get a call that they can not honor the reservation as hotel rejected the reservation and money will be refunded.Two months passed, no refund.After many calls and mails, they say ""there was some issue with the refund"" and it will be refunded.Please check your credit card bills if you ever make a reservation with galahotels. This is some kind if cheating company.","Date of experience: March 25, 2018"
No problems Answered helpline when rang…,No problems Answered helpline when rang to confirm booking No problemwith the booking at the hotel. The price was competitive better than the big bookers,"Date of experience: March 25, 2018"
False advertisement and lack of customer support,In the offer I purchased there was airport transfer included. The hotel did not offered transfer.GalaHotel's support failed to answer my question/ticket. False advertisement and lack of customer support is the reason for 2-stars.,"Date of experience: March 25, 2018"
Staff excellent and helpful,Staff excellent and helpful. Rooms good and clean.Very convenient for the airport and would certainly stay there again.,"Date of experience: March 24, 2018"
Very good value hotel,"We was surprised with our room, it was better than expected, good quality with great shower. Bed ok. Plenty of choice at breakfast. Staff efficient and helpful. Would recommend for short break in Berlin.","Date of experience: March 24, 2018"
Was Ok-ish,Too hot in the room despite asking to lower the temp twiceThe interior  is outdatedCould have been cleaner,"Date of experience: March 24, 2018"
Disability awareness could be improved,My only real gripe I have is that my room took ages to get to - as I am disabled this somewhat marred my visit as getting to and from my room was a teal barrier to enjoying myself - other than this and having to climb about 50 stairs to get to the arena gallery everything else was brilliant. I have stayed here before and definitely would do so again - friendly attentive and polite staff at all levels and roles - thank you,"Date of experience: March 24, 2018"
Room and facilities were just fine,"Room and facilities were just fine, are reception and sign in could been better. Not sure if we were suppose to get a free breakfast or not but we did notice that customers were using hotels vouchers at the restaurant as we were leaving. Overall nice hotel and good location.","Date of experience: March 24, 2018"
Good hotel,Good hotel. Good service. Nice staff. Everything is good,"Date of experience: March 24, 2018"
Our flight was delayed by 3 hours due…,Our flight was delayed by 3 hours due to a French Air Traffic Control Strike so we arrived at the hotel at 11.30pm and not 9.30pm as envisaged. The hotel literature says room service is available but we were told the kitchen was shut and no food was available but a salad had been put in our 2 rooms. What was advertised was not available and we ere both half board. A 5 star hotel would have room service available.,"Date of experience: March 24, 2018"
Overall stay,"Clean, quiet, nice staff. An in hotel bar and dinning would have been nice.","Date of experience: March 23, 2018"
We only stayed one night as a stop…,"We only stayed one night as a stop over. Great location. Hotel Excellent, amazing breakfast selection and staff really friendly. Would definitely recommend this hotel.","Date of experience: March 23, 2018"
Very Clean and polite staff,Very Clean and polite staff. Reasonably priced and in the city centre.,"Date of experience: March 23, 2018"
Helpful service,"Online booking was problematic for me (my internet connection, not Gala's fault) so I phoned and the agent was very helpful. To compound the problem, my bank chose to stop my credit card as a ""suspicious transaction"" when I tried to complete my phone booking, but the agent was very reassuring and my booking was held until I had cleared the transaction with the bank. What could have been a bit of a nightmare was made very smooth by Gala's helpful attitude.","Date of experience: March 23, 2018"
Fin serves.,Fin  serves.evriting fin.,"Date of experience: March 23, 2018"
I asked for an invoice for the hotel…,I asked for an invoice for the hotel booking at Wyndham Garden Berlin Mitte Hotelf in order to prepare our travel expenses . The hotel does not issue an invoice as it was prepaid to Gala Hotels. Until now we did not receive an answer from GalaHotels,"Date of experience: March 23, 2018"
Galahotels always the best.,No body text,"Date of experience: March 22, 2018"
I had a problem making the reserva,I had a problem making the reservation and tried calling the hotel and your help desk. I was charged 2x for my reservation. I know what happened but was trying to speak to someone to correct the issue and had NO luck! I’d like a call back  to discuss my problem.,"Date of experience: March 22, 2018"
Sad to have to give a poor review,"I am sad to have to give a poor review but apart from the hotel price, which was competitive, my other experience with Gala was poor.The UK telephone transfers to a voicemail (Turkey?) which is always closed.Messages sent are answered promptly but with no detail re the actual questions I posed. I should have had a free transfer Havana airport to hotel, which did not happen and I was given a 10 Euro credit against a future booking as"" compensation"" It actually cost me 30CUC = Euro 25 for a taxi plus quite a delay to make this arrangement after a long tiring day.","Date of experience: March 22, 2018"
Everything went perfectly,"Everything went perfectly.  The hotel was great and the reservation was wait for us when we arrived.  I admit I was a little concerned about booking through a third party, and paying in advance, but everything went smoothly.  We had a great trip!","Date of experience: March 22, 2018"
The booking was supposed to include a…,"The booking was supposed to include a free pick up from the airport to the hotel. Unfortunately, no one was waiting for us when we arrived and we had to take a paid taxi to the hotel. Turns out it has happened a lot with bookings with Galahotels, a pity....","Date of experience: March 22, 2018"
Very good prices and very easy to make…,Very good prices and very easy to make a booking,"Date of experience: March 22, 2018"
Total frauds,"Total frauds.  Buyer beware....they say free cancellations, but what they mean is you aren't charged for a cancellation, but you get no money back from them.  Sorry.Nice Non-Response, too.","Date of experience: March 22, 2018"
We were tried cheated by the restaurant…,"We were tried cheated by the restaurant staff in the hotel for 170 euros. They claimed we had not paid for the food. This came forward while the taxi was waiting for us to the airport. I demanded that management get hold of the police when I wanted to report the case. After having asked the restaurant after a description of the man, Willy, it appeared that he was in the hotel. He said sorry, he had made a mistake ... but where did he ask us to sign a bill that had already been paid? The hotel management did not come with any help or apologies. This seemed like it was planned !!!","Date of experience: March 21, 2018"
Was hard to book with,Was hard to book with.  It stated that I did not get the reservation. Then went to reserve and they said I had one.,"Date of experience: March 21, 2018"
Brilliant hotel,No body text,"Date of experience: March 21, 2018"
Thanks,"Easy, fast and cheap👌🏼","Date of experience: March 21, 2018"
Simple and effective processing of…,Simple and effective processing of reservations. All worked extremely well.,"Date of experience: March 21, 2018"
Easy Travel,Once again great prices and accurate description of property.,"Date of experience: March 21, 2018"
A disappointing experience,"There were several aspects in which we found this hotel substandard. The shower/bath was leaky so that every time it was used the bathroom floor flooded with the water flowing out into the room. There were frequent shortages of food in the buffet restaurant with delays in replenishing items after the first diners had taken their selection - on our first day no hot meat courses were available at lunch. Provision of cups and drinks, particularly hot drinks was very slow and many prompts were needed. The peripheral near-pool restaurants were closed and the snacks available at the small poolside grills were of very low quality and used tasteless stale bread. The buffet bar reeked of tobacco smoke. Internet connectivity is only really available at or very near to the reception area and even there it proved unreliable and extremely slow. We have previously stayed at other hotels at Cayo Santa Maria, including ones supposedly more down-market and all were better than this one in almost all respects.","Date of experience: March 20, 2018"
Satisified with the Hotel,Satisified with the Hotel. The only thind that I dislike is that WIFI is not available for free.,"Date of experience: March 20, 2018"
Hotel wouldn't respect confirmed choice,"Although I booked a king-sized bed and I even got a kind-sized bedroom confirmed I had been assigned to twin bedroom, no explanations given!","Date of experience: March 20, 2018"
"Good value for money, good business location","Room is allright, reasonably clean. Very kind and helpfull staff, but lines are long and so is the waiting. Very close to subway, airport train (5 km, one stop) and Bella centre. Next time in Copenhagen, I would consider taking the same hotel.","Date of experience: March 20, 2018"
they ripped me off took my money but…,they ripped me off took my money but never reserved the hotel room! i had to pay 180% for the same dates at the hotel. all e-mail correspondence failed to get answers backed by actions. nothing but apologies and promise for refund but no refund was actually made by this time.,"Date of experience: March 20, 2018"
Dolce Chantilly,Website got us the best deal around,"Date of experience: March 20, 2018"
Great Services,No body text,"Date of experience: March 20, 2018"
Very good choice,"Great hotel, very good breakfast!value for money","Date of experience: March 19, 2018"
Free transfers not avaiable!!!,I booked the hotel via galahotels and they ofered the transfers to/from AirPort. As requested i submited the flight number On the day  of the Booking ( 2 months before checkin).3 days before arriving they told me that there was no transfers avaiable “this time” and the next time a should give the info earlier.Very disapointed!!!,"Date of experience: March 19, 2018"
Perfect place for a short stay!,"Perfect place for a short stay, quick transfer from en to the aeroport. Free public transport. Great break first and, big and tidy rooms.","Date of experience: March 19, 2018"
"Great Roma Reial Hotel,Barcelona","We received, first class service and our Hotel was just what we wanted, on our recent visit to Barcelona.   We sent an email informing our trip was for my husband birthday, and could we receive a balcony bedroom with a bath and these were both provided, would book through GalaHotels again.","Date of experience: March 19, 2018"
Great hotel great value perfect location,No body text,"Date of experience: March 19, 2018"
"Great location, a bit tired.....credit card issues","Great location, within 5 minutes walk of the airport. Hotel entrance, bar very pleasant.Rooms quite small and tired decor, some noise due to laminate flooring.Restaurant very nice, but a little pricey.I would stay again due to location and competitive pricing. My biggest concern was that they do not accept american express.....crazy for a large organisation like this.","Date of experience: March 19, 2018"
Horrendous dishonest company,"Horrendous dishonest company.  If you must book with them, then make sure you take screenshots of the booking and the deal confirming whether your hotel is cancellable and by when.  We cancelled a fully cancellable deal 16 days ago and our credit card has still not been refunded.  It's impossible to get through to customer services on the phone.  I made a credit card claim and you MUST provide evidence that the deal was cancellable and confirmation that the cancellation has been made.  Best to avoid this company altogether, they are just hoping that you will forget about your refund and not check it's been received.","Date of experience: March 19, 2018"
Easy and simple with a great price!,No body text,"Date of experience: March 19, 2018"
Nice and clean place close to the city…,Nice and clean place close to the city center of Munich...but: impossible to provide an invoice since the reservation on their own website is done by GalaHotels.com,"Date of experience: March 19, 2018"
Sorry for this rating but when we…,"Sorry for this rating but when we arrived at the hotel they gave us a 2 single beds room instead of 1 double bed (they fixed the problem by moving the beds together so OK) , there was no bath in the room & only a shower with  a fixed shower head !!! & as mostly of the hotel's rooms have a balcony ours haven't so in few words it was 1 of the worst rooms of the hotel. I've been before in this hotel and always had an acceptable room but this time it wasn't. So please on your website you must write exactly what rooms are available & what they consist of .","Date of experience: March 19, 2018"
Room very warm but that is the only…,"Room very warm but that is the only complaint, room immaculate & very clean would book again.","Date of experience: March 19, 2018"
Our booking at kempinski hotel was that…,"Our booking at kempinski hotel was that of a standard room with breakfast included. However, upon checking in at kempinski hotel, we were informed that the booking was room only. Upon checking our gala account, we noticed that there have been three cancelled bookings which we were not aware of and one confirmed booking (room only). Any email confirmations which were received had different booking IDs but included breakfast. We believe that there were some issues with the booking system when we made our bookings and ended up paying for breakfast.","Date of experience: March 19, 2018"
all ok very well,No body text,"Date of experience: March 19, 2018"
Tha recptionis was amazing and the…,Tha recptionis was amazing and the night porte incredible thanks for making me have a good time,"Date of experience: March 19, 2018"
The only thing that we did not like…,"The only thing that we did not like about GalaHotels.com is the amount of time it took to get our cancellation refund - we EVEN RE-BOOKED with Galla the same day we cancelled our booking and it took longer than promised.  It should not take 5-6 weeks for a refund.  Rediculous.  Because of this, we likely will not book with Galla again.","Date of experience: March 18, 2018"
fast and perfect service,No body text,"Date of experience: March 18, 2018"
I have used Gala Hotels now on ten plus…,I have used Gala Hotels now on ten plus bookings and have had no trouble with any booking,"Date of experience: March 18, 2018"
Bad – unacceptable experience,"Bad – unacceptable experience, rude and inadequate reception! they do not solve the problems but they create them. Incompetent!","Date of experience: March 18, 2018"
staff rude,None in that Hotel help customers if need. The recepcion don't do his job. All the staff is quite rude and not at the right level of a four stars hotel.,"Date of experience: March 18, 2018"
Don't expect to see your money again!,"Sadly as a lot of other reviewers have said, Gala hotels is a dishonest company that will not refund your money despite the terms and conditions clearly stating that bookings are refundable.They will ignore emails, blame their bank, but ultimately not repay you.My credit card company is now in the process of recovering the money","Date of experience: March 17, 2018"
Not great experience,Very difficult to communicate with Gala. Booking allowed me to select a free airport pick up but no one arrived at the airport to collect us and I was told by a rep that this happens all the time with those booking through Gala - a very difficult position to leave people in when they arrive in a foreign country with no internet access,"Date of experience: March 17, 2018"
I normally find using Gala Hotels quick…,"I normally find using Gala Hotels quick and simple. However, for some reason, on this occasion, my reservation was duplicated on the website and although I immediately raised a query on the 01.03.17, seventeen days later I still have not had a resolution from Gala Hotels.Also the booking I made was for a twin room for 3 nights and yet on the web site the booking was a twin/double room so I had to telephone the hotel to ensure we had a twin room.","Date of experience: March 17, 2018"
Easy to book.,Easy to book.Immediate confirmation of booking - but no email confirming the confirmation!,"Date of experience: March 17, 2018"
Lovely hotel,Lovely hotel. Lovely area. Staff - friendly enough. Bath emptied through floor-drain flooding the bathroom.,"Date of experience: March 17, 2018"
"This hotel has clean, decent rooms and fine staff","This hotel has clean, decent rooms, with very small bathrooms so that someone less agile might find the shower tricky to negotiate.Staff are friendly, smiling and willing.The breakfast room is very busy from very early so sometimes refills of food and table clearances are a little slow to take place - this is because of understaffing - the staff work hard and fast.The only way to take advantage of the hotel's airport shuttle is to book direct with the hotel but he Pisamover shuttle to the city is very efficient and easy to use.","Date of experience: March 17, 2018"
Was booked into hilton blackpool for 3…,"Was booked into hilton blackpool for 3 nights 6th to 9th Mar ch was already paid for but due to weather conditions had to cancel the 6th.  Phoned Hilton to be advised to contact Gala to cancel.  Tried numbers for gala but were no longer available ,put e mail away but when got to hotel gala had not cancelled and  no refund has been made Will not use gala again","Date of experience: March 16, 2018"
Lifts were a problem,"Lifts were a problem, only one working out of 4 and this included the cleaners using the same lift with trollies that took the space of half the lift.The 24 hour bar some times had food and some times nothing.Generally needs a total refurbishment!","Date of experience: March 16, 2018"
international credit card charges,"I was just a tad concerned when my first credit card was denied.  My second choice worked just fine, but i immediately got a notice from my CC company that an international charge had been processed.  I wasn't aware that this booking company was located in Turkey.  Luckily the card I used didn't have any international charge fees!  I did call the hotel afterwards to insure that it was a legit reservation.  Everything worked out.","Date of experience: March 16, 2018"
great price good communications,No body text,"Date of experience: March 16, 2018"
"In the city center,","In the city center,clean","Date of experience: March 16, 2018"
The upgrade and refurb is top notch,the upgrades and refurbishments are top class - i would definitely stay there again.,"Date of experience: March 16, 2018"
Very friendly and helpful personal,Very friendly and helpful personal! Everything was clean and cozy! I would like to come back :),"Date of experience: March 16, 2018"
Easy and efective.,No body text,"Date of experience: March 16, 2018"
Very slow in processing refund!,I booked two rooms and cancelled one on January 24th.  The last day to cancel was on March 1st.  I still have not received my refund.  I contacted the customer service online on February 9th. They emailed me back and gave me a case ID. They said I would receive my refund within 21 business days which would be March 12th.  I STILL have not received my refund.  I question if this is a legitimate business or a case of horrible customer service???Just received my refund finally after over a month and half!!!,"Date of experience: March 15, 2018"
Very well kept in a very good…,Very well kept in a very good position.All the staff are friendly and help you with any enquiries,"Date of experience: March 15, 2018"
Very busy hotel,"Very busy hotel, but very efficient as well. Served by Winston who was very helpful and although hotel busy, he spent as much time with me as I needed.","Date of experience: March 15, 2018"
Good location,"Good location, nice athmosphere. Showers were like from cruisers, too small, but we managed to live with it.","Date of experience: March 15, 2018"
Was the perfect decision to stay in…,"Was the perfect decision to stay in this wonderful hotel, perfect service/wonderful people working there, very friendly and helpful, it was everywhere very clean and the best food ever, thank U Team Tryp Cayo Coco for everything 😀😍😘","Date of experience: March 15, 2018"
"I book with ""precaution"" rate I had to…","I book with ""precaution"" rate I had to pay which was suppose to be for me an insurrance cancellation.In fact, I asked to change by one day the booking (sae room, same hotel) and nothing has been done to make it happening.So I lost more than 200 € and on top I had to book on my own a room on a new checking date.So, I am very desapointed that see no flexibility and to get automatic machine answser. Next will go to booking.com, much more listining to customers. Regards,Olivier Leblanc","Date of experience: March 15, 2018"
Again all went well,Again all went well. Nothing amiss.,"Date of experience: March 15, 2018"
Great,"Great, fast and with better prices than Booking.com. Will book again soon.","Date of experience: March 15, 2018"
Gala Hotels insisted that for a…,"Gala Hotels insisted that for a specific booking I would not even change the name on the booking but need to travel myself. I do understand terms and conditions but there would have been no business impact to change the name of the traveller - even with a non-refundable booking I made. So I ended up travelling myself to not loose money. Resulting in a business trip that I could have done without! So no movement in services with no obvious reason or explanation. My first email was answered correctly but not friendly. My second email was not answered at all! Low customer service! The booking site is technically below standard and the responses are on a low 1st level customer service! So, I will not book again through Gala Hotels!","Date of experience: March 15, 2018"
best price than the rest but not so…,best price than the rest but not so good discription of the hotels,"Date of experience: March 15, 2018"
Nice room and the hotel is close to the…,Nice room and the hotel is close to the city and the railway station.,"Date of experience: March 15, 2018"
Helpful personnel as we arrived late…,"Helpful personnel as we arrived late (2300) but were able to get access after phoning the number on the door. Comfortable beds, our main complaint was the lack of hot, even warm, water from the time we arrived until we awoke in the morning. We decided not to have the breakfast as we slept too late, almost until the end of the meal's availability (1000)","Date of experience: March 14, 2018"
The hotel is beatiful but unfortunately…,The hotel is beatiful but unfortunately in impossible to open the Windows and ithe room isn’t very celan,"Date of experience: March 14, 2018"
I have a problem do I say how good this…,"I have a problem do I say how good this place is or do I keep it to my self, so I know I will be able to get a room when I come to London again.Pause for thought my inner Buddha says I have to share. My daughter and I stayed 1 night in this hidden jewel of a hotel. From Kings Cross it is 3 stops on the number 45 or 46 Bus or 1 stop on the tube to Russell Square, Russell square is about a 10 minute walk around the perimeter of a garden but I am on crutches at the moment.Our room was down 1 flight of stairs it was lovely the door opened into a small area with the separate bathroom in front and the bedroom to the left. the room was beautifully warm also well appointed with a small fridge tea, coffee, biscuits and bottles of water by the bed, also a television and hair dryer. the bathroom was big with a heated towel rail and toiletry's there was a big shower over the bath. The bath towels are very big and when fresh off the very hot towel rail are so nice to wrap oneself in.If you want a full English breakfast it is a short walk over the road to the great hall where there is a self service buffet breakfast. Good choice of food and drink.Do I have any gripes a couple of small ones, I could not see to do my make up sitting down at the mirror in the bedroom as the tv was in the way, whilst there is big mirror in the bathroom, I am a sit down to do my make up girl. I like my bath to be hot unfortunately I had 2 baths but both times despite turning the tap to the hottest setting the bath was only warm. My daughter rang the first time because she thought we were doing something wrong with the water,. As this was mid afternoon we both thought all the hot water had maybe been used up. However this proved not to be the case as I had a bath at 7am this morning still no hot water, unfortunately no reading in the bath either as the water was not hot enough. the bin in the bathroom could do to be replaced as it had rust marks on, and some paint by the door frame is split and peeling off. The hotel does not have a pool but a £10 a day membership of a health club is available.Would my gripes prevent me from staying again , no I would happily stay there and recommend it to my friends. It is a lovely place and the staff were very quick to try and sort the water out and answer our queries. 8 out of 10 had the water been hot it would be 10 out of 10. xx","Date of experience: March 14, 2018"
Fast and simple.,No body text,"Date of experience: March 14, 2018"
Good business.,We received great service and hospitality from GalaHotels. Thank you.,"Date of experience: March 14, 2018"
No hotel address on confirmation,No body text,"Date of experience: March 14, 2018"
Nice place great service,No body text,"Date of experience: March 14, 2018"
No contact slow refund,I made a booking no. ..... stated in references it was not possible to cancel the Reservation after 5 minutes also the it stated cancelation possible till 4th of April.Called more than 10 times the Agent Transfers you and you talk to a anwering machine.I will contact now my Creditcard Company to block the payment.It is not possible to cancel on the web site.Please stay away from this companyUpdate 20.03.18 got an email that refund will be in 21 days.Update 22.03.18 did Hand all papers to my credit Card companies with the proof that I cancelled the Reservation. Sent an email to Galahotels no Reply yet.will Keep you posted.27.03.18 Did receive the Credit note But I had to contact my creditcard company.Booking.com is much more professional Anyhow lucky do get my money back,"Date of experience: March 14, 2018"
The staff were fine and helpful,The staff were fine and helpful; the room good and comfortable;the breakfast lay-out and standard was average; problem experienced with the access cards for the lift and bedroom.,"Date of experience: March 14, 2018"
Excellent services,"Excellent services, excellent rooms, excellent staff, excellent resort","Date of experience: March 13, 2018"
I am very satisfied with the booking…,I am very satisfied with the booking with Gala Hotel. Everything worked smoothly. It was a quick easy booking and if you are lucky you will get a coupon code. It was the cheapest way to book with galahotel. I'm very happy.,"Date of experience: March 13, 2018"
Except the amazing location and the…,"Except the amazing location and the beach , the rest was terrible. The staff was unwilling to help and they wasn’t friendly but neither professional. The food and transportation is too expensive.","Date of experience: March 13, 2018"
As soon as I booked a room from the…,"As soon as I booked a room from the site my card has been charged with the whole amount,one month before my arrival.The following day they have sent me an email noted that there was no room at this Hotel and the amount I have paid would be refunded in 3 days.Following several discussions with them the amount was refunded 21 working day after.","Date of experience: March 13, 2018"
strictly   positive to  be improved,"positive : silent room , helpful staff, good location near metro statio Gallieninegative : we were obliged to change room twice  first lavabo pipe  leaks water , second time  television  not  functioning at all .Acceptable experience  but they need to improve .","Date of experience: March 13, 2018"
Nice Hotel,"Nice Hotel, good service, and excellent breakfast.","Date of experience: March 13, 2018"
Very disappointed.,Very disappointed.Had an issue with transfert shuttle mentioned as included in the fare and it appeared at the latest moment that it was not.Nearly missed my flight back.Not professionnel at all and customer service refused to refund me.,"Date of experience: March 13, 2018"
I cancelled my booking 02/12/2018 and…,I cancelled my booking 02/12/2018 and have still not received my refund after 6 weeks waiting. They have stopped replying to me as well.Do not trust this company under any circumstances!,"Date of experience: March 13, 2018"
I booked a room for 2adults,"I booked a room for 2adults, 1 child. There was no extra bed for child, reception said that I booked bad sharing but in invoice it was not said and I do not mean like this. I had to pay 15 eur for child.","Date of experience: March 13, 2018"
If I could rate 0 stars I would,If I could rate 0 stars I would. On arrival to the hotel they had not received my booking so I had to pay for a last minute room. This website is a scam and they’ve stolen £120 from me. Furious and will never use again.,"Date of experience: March 13, 2018"
Bad decision...go direct to hotel,Check directly with hotel website first.  Discovered after making booking with Galahotels that the hotel was €110 cheaper for the same weekend and included breakfast.  Also tried to take advantage of their promised pickup service from airport to hotel- but after several calls gave up!! Never again.Even their bland reply to my review below does not fill me with any confidence that their service will improve.,"Date of experience: March 13, 2018"
room has been double booked,"room has been double booked, not by us, and a wrong address was on the bill they issued, and there was no Help from the hotel regarding all this","Date of experience: March 13, 2018"
Excellent place,Excellent place. Clean rooms. Good service and pleasant staff. Should graded more than 2 stars,"Date of experience: March 13, 2018"
It's  an convenient hotel,"It's  an convenient hotel . Close to the Central Station, The Tivoli and the Strøget a boulevard ful ofl restaurants and shops. The staff very nice and  helpful and if was perfect for my overnight in Copenhagen.","Date of experience: March 13, 2018"
Very bad experience,I had a very bad experience whit our site.   A friend of mine on the same day booked a similar room a 260 euros instead 365 euros.Also after booking i checked through Booking and it cost 115 euros less.I wil never used your site anymore,"Date of experience: March 12, 2018"
Where was the transfer,Where was the transfer? 70CUC I spent and wasted 2 hours looking for the transfer when we arrived in Cuba. We ended up paying for taxis from and too the airport. Thank Gala,"Date of experience: March 12, 2018"
Service was quick and professional,Service was quick and professional. Would have appreciated an update and a customer service # because I lost the confirmation.,"Date of experience: March 12, 2018"
NO customers service skills,"The costumer service was horrible,the people in the bar on the pool so rude,I travel to Cancun 6 times already and the people there are so much friendly, the room smell, they don't put my towels for the beach the first day we have to ask for it,everyone in the hotel treat us with rudeness.i don't understand why they work with client on the resort if they don't have the patience for it,and plus I do speak Spanish wasn't language barrier.I don't recommend these hotel,was my worst nightmare of the vacations.","Date of experience: March 12, 2018"
Effortless *****,It was just so easy to book All done in just a few minutes No effort required A*****,"Date of experience: March 12, 2018"
room was spacious and well decorated,room was spacious and well decorated.  staff very helpful and professional on check out.,"Date of experience: March 11, 2018"
Family holiday.,"Nice hotel , with good  resturant  and bar , Very close to center ,using tram 71 you reach center within 5 mins.All staff speak english and ready to help you.","Date of experience: March 11, 2018"
Easy to use and responded to questions…,Easy to use and responded to questions quickly!,"Date of experience: March 11, 2018"
Great hotel,"Great hotel, very good service and good breakfast.Is money worth.","Date of experience: March 11, 2018"
Reservation was made easy and fast!,No body text,"Date of experience: March 11, 2018"
Hotel needs maintenance,Hotel needs maintenance. Poor wi-fi  connection. The bathtub was clogged and the food at the restaurant overchargedThe employees were very nice and tried to solve the problems.I'll never stay there again. .,"Date of experience: March 10, 2018"
service was a little bit slow,"service was a little bit slow, but everything´s alright","Date of experience: March 10, 2018"
Misleading and confusing,"Sent an email to see if my booking was okay, 2 months and still nothing. The booking confirmation still says it’s pending and i’m already back from the trip.At the hostel we received an entitely different type of room than what we booked, if the hostel receptionist wasn’t as nice a guy as he was to give us a free uprade our stay would have been terrible. I would not recommend that you write galahotels or use them","Date of experience: March 10, 2018"
Excellent personalized service,No body text,"Date of experience: March 10, 2018"
Great services and prices,No body text,"Date of experience: March 10, 2018"
"Very nice hotel I enjoy myself,thanks…","Very nice hotel I enjoy myself,thanks to them","Date of experience: March 09, 2018"
Short stay in Salou,"Very comfortable, very clean room.We enjoyed our stay in your hotel!Regards Theo&Marlene","Date of experience: March 09, 2018"
scam checkin,"When I arrived to check in at the Ibis in Birmingham, they had no knowledge of my reservation. I handed in the e-mail print out of my booking, and only then did it dawn that I had made the reservation via 'Gala' even though I had 'googled' 'Ibis Birmingham'.It took over twenty minutes for the hotel to trace the booking through 'Gala'.Thus although the hotel was helpful and a great place to stay, Gala and its rather underhand tactics to receive bookings gets a generous 'one star' for its performance.","Date of experience: March 09, 2018"
I got a significant charge from my bank…,I got a significant charge from my bank because galahotels is based outside of Europe.  That fee was more than what I saved on the booking :(,"Date of experience: March 09, 2018"
Was a bit confusing to book the hotel,Was a bit confusing to book the hotel. The information about the rooms was confusing.,"Date of experience: March 09, 2018"
Bad service,"Bad service, there was no booking and till now my money is not refund and I tried to call you many times but no answer","Date of experience: March 09, 2018"
