title,body,date
User friendly,User friendly,"Date of experience: July 23, 2024"
Very easy for me,"Very easy for me, I am not experienced in doing online reservations, and it was painless","Date of experience: July 22, 2024"
Easy to book,"Easy to book, nice clean, close to everything fun 🥰","Date of experience: July 22, 2024"
I was unable to get ahold of anyone on…,"I was unable to get ahold of anyone on the phone to give me information about the hotel, golf, or the resort amenities. The numbers listed sent me to an operator that didn't even know about The Welk. I wanted multiple days but am not sure that it will work out so I decided to only book one night in case they can't accommodate us.","Date of experience: July 22, 2024"
It was easy and quick to do reserve but…,"It was easy and quick to reserve but I didn’t like the timer on the top, saying I only had so many minutes to get my deal.  It made me feel pressured.","Date of experience: July 21, 2024"
They DID NOT disclose the mandatory fee…,They DID NOT disclose the mandatory fee of 15% when I booked my hotel.  I also was unaware that I was booking through HotelsOne as this was not disclosed until after I received the email confirming the booking.  Why would anyone pay an online company 15% to book a hotel?  I was definitely scammed!!!!!!!!,"Date of experience: July 16, 2024"
Easy to book.,No body text,"Date of experience: July 22, 2024"
easy to use,The  booking process is easy,"Date of experience: July 21, 2024"
I could not figure out the size of the…,I could not figure out the size of the twin beds to see if I needed one room or two. There are four of us in our family,"Date of experience: July 21, 2024"
Super easy to book!,Super easy to book!,"Date of experience: July 21, 2024"
Wife of Dennis praczkajlo,Easy to register,"Date of experience: July 21, 2024"
Booking using your site was really easy…,Booking using your site was really easy and clear-cut. I didn't have to fumble around or guess. Pricing was acceptable.,"Date of experience: July 21, 2024"
Easy website to navigate.,No body text,"Date of experience: July 21, 2024"
Reserving was straight forward and…,Reserving was straight forward and easy...,"Date of experience: July 21, 2024"
Ease of booking,No body text,"Date of experience: July 20, 2024"
Easy and quick,No body text,"Date of experience: July 20, 2024"
An easy-to-use booking system,"An easy-to-use booking system, with great explanations of the rooms.","Date of experience: July 20, 2024"
Easy to complete reservation.,No body text,"Date of experience: July 19, 2024"
Great Experience,The website was very clear and easy to manage.,"Date of experience: July 19, 2024"
We were there in May AWESOME…,We were there in May AWESOME EXPERIENCE. We are good friends of the Steve and Ginny,"Date of experience: May 31, 2024"
Great booking site,Great booking site.  Easy to use and understand,"Date of experience: July 19, 2024"
Easy to use,"Easy to use, was there last year and decided to return.","Date of experience: July 19, 2024"
Easy Experience,Everything was very clear with information and explanation.,"Date of experience: July 18, 2024"
The process of booking at the Alt Hotel…,The process of booking at the Alt Hotel is so easy.,"Date of experience: July 18, 2024"
Clear,"Clear, concise, straight forward information","Date of experience: July 18, 2024"
Easiest of any place else!,No body text,"Date of experience: July 18, 2024"
Easy selection process for rooms,Easy selection process for rooms. Prices clearly visible and no hidden fees.,"Date of experience: July 18, 2024"
Loved the ease of reserving a room!,Easy to follow directions.,"Date of experience: July 18, 2024"
Awesome santa fe vacation,Very easy to set up room,"Date of experience: July 17, 2024"
Easy to make a Reservation,Such an easy-to-follow booking site!,"Date of experience: July 18, 2024"
Booking was easy but needs a tweak,"I would appreciate it if when you put your dates of availability in, that one of the dropdowns for rooms would just say ""cabin."" It confused me that my only option was ""rooms"" when I wanted a cabin. Ultimately I figured out that I should just say 1 ""room"" and it brought up cabins.Everything else was stellar.","Date of experience: July 17, 2024"
Easy to book,No body text,"Date of experience: July 17, 2024"
Couldn't be any easier,No body text,"Date of experience: July 17, 2024"
Easy to navigate,No body text,"Date of experience: July 17, 2024"
Easy to use and understand,Easy to use and understand,"Date of experience: July 17, 2024"
Easy to use,"Easy to use, user friendly","Date of experience: July 16, 2024"
Easy to navigate and very intuitive…,Easy to navigate and very intuitive process. Thank you!,"Date of experience: July 16, 2024"
Totally got scammed by Hotels One and…,Totally got scammed by Hotels One and the hotel that they were representing. Offered a room at a visible price then after I had paid the price of the room doubled. Did nothing to try to refund my money. They are in partners with the hotels they represent. I asked to talk to a supervisor and was put on hold and no one ever answered. Will never do business with them or their partner hotels again.,"Date of experience: July 15, 2024"
Warning,Warning - Damp smelling room with unfitted carpet and broken furniture.,"Date of experience: July 16, 2024"
Ease of viewing the rooms,"Ease of viewing the rooms, features, availability and cost.","Date of experience: July 16, 2024"
Easy no frill,"Easy no frill, just the facts","Date of experience: July 15, 2024"
Quick and easy,No body text,"Date of experience: July 15, 2024"
Quick and easy,No body text,"Date of experience: July 15, 2024"
Very clear availability information and…,Very clear availability information and being able to book and pay later was very helpful.,"Date of experience: July 15, 2024"
Really easy site to use and to book on,Really easy site to use and to book on. Every step was really clear.,"Date of experience: July 15, 2024"
Beware of undisclosed non-refund…,Beware of undisclosed non-refund policy. Hotel One does not directly own the Fairmont Hotel and an additional  $100 fee is charged for using the site. I immediately requested a cancelation and would be immediately charged $400.,"Date of experience: July 15, 2024"
Easy.Glad room is availablethat day.,No body text,"Date of experience: July 15, 2024"
Easy and quick interface,Easy and quick interface. Worked well on my mobile device.,"Date of experience: July 15, 2024"
Very user friendly and offers a lot of…,Very user friendly and offers a lot of explanation/description of the hotel and area.,"Date of experience: July 15, 2024"
Excellent to navigate!.,No body text,"Date of experience: July 15, 2024"
Very easy site to work with,No body text,"Date of experience: July 15, 2024"
Easy to use,"Easy to use, no problems.","Date of experience: July 15, 2024"
Easy web site access,"Easy web site access, good prices & prompt service","Date of experience: July 15, 2024"
Very slow and inefficient proces,Very slow and inefficient proces. You get kicked out a few times. Please add PayPal.,"Date of experience: July 15, 2024"
Easy with pertinent information easily…,Easy with pertinent information easily accessible.,"Date of experience: July 14, 2024"
Booking was easy,Booking was easy. Hopefully we got the right price as that did not show.,"Date of experience: July 15, 2024"
Very easy to reserve the rooms.,No body text,"Date of experience: July 14, 2024"
It would be helpful to know when rooms…,It would be helpful to know when rooms are available not just when they are not.,"Date of experience: July 14, 2024"
Pictures of The Springs rooms were very…limited,"Pictures of The Springs rooms were very limited and did not give a great picture of what was offered. If I had not driven by there when I stayed previously, in Ocean Springs, I would have stayed somewhere else.","Date of experience: July 14, 2024"
I have never used this before so how…,I have never used this before so how can I rate my experience,"Date of experience: July 14, 2024"
Easy to book,No body text,"Date of experience: July 14, 2024"
Clarity & ease,Clarity & ease,"Date of experience: July 14, 2024"
Simplicity,"Simplicity, and speed. Really easy and fast!Thanks,Pete","Date of experience: July 13, 2024"
So very clear and easy,I appreciate how clear and easy-to use your site is! Thank you.,"Date of experience: July 13, 2024"
These guys are absolute unethical…,"These guys are absolute unethical thieves. No upside to using them.  Non existent customer service, terrible confirmation emails, and God forbid anything needs to be changed about your reservation - they will take the screws to you.  They have no intention of keeping someone as a return customer, it's all about the one time money grab.  I accidentally used them once, I absolutely will never use them again.  I never write reviews like this but felt the need to warn others to not use them.","Date of experience: July 13, 2024"
Booking a room is very easy,No body text,"Date of experience: July 13, 2024"
Always had great employee interaction,Always had great employee interaction,"Date of experience: July 13, 2024"
The site is very user friendly,The site is very user friendly.  Simply choose dates and all available options are shown.,"Date of experience: July 13, 2024"
Easy check-in,No body text,"Date of experience: July 12, 2024"
Smoking room indicator,I wish there was a way to check a box for smoking room. Now I just have to guess (hope) that I will get it.,"Date of experience: July 12, 2024"
It just worked,It just worked,"Date of experience: July 12, 2024"
Very quick and easy,No body text,"Date of experience: July 12, 2024"
Excellent and easy booking!,No body text,"Date of experience: July 12, 2024"
Simple to use,"Simple to use, no fuss, no glitches, no need to open other windows or create an account.","Date of experience: July 11, 2024"
clear/direct info presented,No body text,"Date of experience: July 11, 2024"
very good,very good. quick,"Date of experience: July 12, 2024"
Fast and efficient,Fast and efficient,"Date of experience: July 11, 2024"
Easy as 1-2-3,No body text,"Date of experience: July 11, 2024"
It was very simple and straightforward.,No body text,"Date of experience: July 11, 2024"
Very user friendly and easy to navigate!,No body text,"Date of experience: July 11, 2024"
We love this inn,We love this inn. We stayed there last year in late September. The owners are lovely people.,"Date of experience: July 11, 2024"
Booking website is easy to use,"Booking website is easy to use, simple and quick.","Date of experience: July 11, 2024"
Quite easy and intuitive.,Quite easy and intuitive.,"Date of experience: July 11, 2024"
Good value and location,Easy booking system,"Date of experience: July 11, 2024"
Easy to complete,No body text,"Date of experience: July 11, 2024"
Super easy site that was fast with no…,Super easy site that was fast with no bugs,"Date of experience: July 10, 2024"
Very easy to navigate your website,No body text,"Date of experience: July 10, 2024"
It did not take my Big4 membership into…,It did not take my Big4 membership into account,"Date of experience: July 11, 2024"
Great service,Great service,"Date of experience: July 10, 2024"
Your website is easy to use,Your website is easy to use.  I have stayed here before. I liked the employees they are always helpful. But this is the first time I used the web. No frustrations!!,"Date of experience: July 10, 2024"
I love staying at any of The Graduate…,I love staying at any of The Graduate hotels.,"Date of experience: July 10, 2024"
Easy & quick to use.,No body text,"Date of experience: July 10, 2024"
Super easy as always,No body text,"Date of experience: July 10, 2024"
Friendly website,No body text,"Date of experience: July 09, 2024"
Your website was easy to book,Your website was easy to book,"Date of experience: July 09, 2024"
Very straight forward booking process…,Very straight forward booking process and quick!,"Date of experience: July 09, 2024"
Very user friendly site,Very user friendly site! Thank you!,"Date of experience: July 09, 2024"
Very easy to book.,Very easy to book.,"Date of experience: July 09, 2024"
Very straightforward and intuitive,No body text,"Date of experience: July 09, 2024"
Quick and easy,No body text,"Date of experience: July 08, 2024"
Quick & Easy,No body text,"Date of experience: July 08, 2024"
Easy booking,Very easy booking of a room online,"Date of experience: July 08, 2024"
Ease of use in booking the place to stay,No body text,"Date of experience: July 08, 2024"
Simple and valuable to book direct,No body text,"Date of experience: July 08, 2024"
Booking was quick and easy. I am very satisfied with the service.,The reservation is easy to navigate thru in other words the app is user friendly.,"Date of experience: July 07, 2024"
Quick,"Quick, easy with good information","Date of experience: July 07, 2024"
Very easy to use.,Straight forward very easy to use.,"Date of experience: July 07, 2024"
I had to cancel and re-book,"I had to cancel and re-book, and it was super simple.","Date of experience: July 07, 2024"
Horrible customer service,"Horrible customer service, no email or text confirmation number.  Can't cancel or get my money back.  Total scam","Date of experience: July 07, 2024"
It was easy to follow,No body text,"Date of experience: July 07, 2024"
first time using hotel,simple transaction easy to navigate and clear instruction,"Date of experience: July 07, 2024"
Easy to navigate and get my reservation…,Easy to navigate and get my reservation in no time at all.,"Date of experience: July 06, 2024"
couldnt book 4 a SAt and Sunday…,"couldnt book 4 a SAt and Sunday 10/12,10/13 had to book for friday b4 too!","Date of experience: July 06, 2024"
It’s was really easy reserving the room,No body text,"Date of experience: July 06, 2024"
Easy reservations!,Website is informative and easy to navigate.,"Date of experience: July 06, 2024"
Great!,Easy to use and good pictures.,"Date of experience: July 06, 2024"
Was easy to access,Was easy to access,"Date of experience: July 06, 2024"
Quick and easy,Quick and easy. My auto fill worked perfectly.,"Date of experience: July 06, 2024"
"website is easy to navigate, thanks",website is easy to navigate,"Date of experience: July 06, 2024"
Easy and fast,No body text,"Date of experience: July 06, 2024"
The online booking was pretty straight…,The online booking was pretty straight forward and seamless indeed,"Date of experience: July 05, 2024"
Easy to book rooms,So far so good,"Date of experience: July 04, 2024"
Easy to use,Easy to use. Good discounts,"Date of experience: July 04, 2024"
Easy to maneuver,Easy to maneuver.  I was not sure which room number I was booking however,"Date of experience: July 04, 2024"
Very easy with no problems,No body text,"Date of experience: July 04, 2024"
Fantastic,Fantastic ! Thank you,"Date of experience: July 04, 2024"
Easy to use site,"Easy to use site, Great selection of hotels","Date of experience: July 04, 2024"
great price,great price.  very east to reserve.must change your cancellation policy,"Date of experience: July 03, 2024"
Easy to book the room,No body text,"Date of experience: July 03, 2024"
difficult to cancel due to unclear instruction,"the customer service is the one for global service, who cannot provide service and how to cancel instruction unclear my booking nowhere to find","Date of experience: July 03, 2024"
Simple & Straight Forward,"Simple, transparent and straight forward reservation process","Date of experience: July 03, 2024"
"Prompt,ez to use",No body text,"Date of experience: July 03, 2024"
Very easy to use!,No body text,"Date of experience: July 03, 2024"
It was easy to book the room that was,It was easy to book the room that was required without any hassle,"Date of experience: July 03, 2024"
Easy to use,One page to complete full booking. checkmarks to show correct entry. Red to show missing.,"Date of experience: July 03, 2024"
Easy user friendly.,Easy user friendly.,"Date of experience: July 03, 2024"
Website was easy and useful.,No body text,"Date of experience: July 03, 2024"
Simple but no option to select a…,Simple but no option to select a handicap room,"Date of experience: July 03, 2024"
Saintlo has the best hostels,"Saintlo has the best hostels, fun, clean and accomodating. The beds, location, and breakfast are amazing and they have movies and a nice kitchen to cook in 24 hours. It is a great place to stay when travelling because the staff are all so kind and accomoddating, it's also lots of fun :)","Date of experience: October 03, 2023"
User friendly,User friendly,"Date of experience: July 02, 2024"
Web site is easy to use and quick.,Web site is easy to use and quick.,"Date of experience: July 02, 2024"
Easy to book,No body text,"Date of experience: July 02, 2024"
Great hotel in heart of Greensboro,"Quaint , comfortable hotel conveniently located to the folk festival, restaurants and other attractions.Lovely breakfast and pleasant, helpful staff.","Date of experience: September 10, 2023"
Website couldnt of been easier to book,No body text,"Date of experience: July 02, 2024"
Watch out for 20% hidden charges added…,"Watch out for 20% hidden charges added to advertised non refundable room price.Tax Recovery Charges *	£55.80*) This charge includes estimated amounts the travel service provider (i.e. hotel, car rental company) pays for their taxes, and/or taxes that we pay, to taxing authorities on your booking (including but not limited to sales, occupancy, and value added tax). This amount may also include any amounts charged to us for resort fees, cleaning fees, and other fees and/or a fee we, the hotel supplier and/or the website you booked on, retain as part of the compensation for our and/or their services, which varies based on factors such as location, the amount, and how you booked. For more details, please see the Terms and Conditions.","Date of experience: July 02, 2024"
Its really clean,"Its really clean, quiet  and friendly reception. I've stayed before in Hawthorn.","Date of experience: January 18, 2024"
Easy to book,Easy to book. Hotel recommended by family.,"Date of experience: July 02, 2024"
Very easy website to use,"Very easy website to use, steps very clear and simple for inexperienced  It person.","Date of experience: July 02, 2024"
Easy,"Easy, fast, good choices","Date of experience: July 01, 2024"
DDSWTS,SO FAR SO GOOD,"Date of experience: July 01, 2024"
very,"very, very easy to use.","Date of experience: July 01, 2024"
Your website is easy to read and find…,Your website is easy to read and find the information needed. Booking was simple. Thank you!,"Date of experience: July 01, 2024"
Do not use this site!!!! Rip off!,Try to book hotel directly and shows one price and then charges you a wildly different price ($80 if fees of over charged sales tax and mandatory fees?) For what? Just call or contact hotels directly. This site is a complete rip off!!!Do not use this site. You can't even get a hold of someone when you try to call.,"Date of experience: June 27, 2024"
Easy to find what I needed,Easy to find what I needed. Quick and responsive process.,"Date of experience: July 01, 2024"
I was calling the hotel and could not…get a live person,I was calling the hotel and could not get a A LIVE AGENT I wanted to know cancelation policy the only live person would not answer my question said I need to book a room poopy service,"Date of experience: June 30, 2024"
Very easy process,"Very easy process. No muss, no fuss.","Date of experience: June 30, 2024"
Easy booking,Easy booking. We have stayed here before and enjoyed our stay.,"Date of experience: June 30, 2024"
Easy to use website,Easy to use website,"Date of experience: June 30, 2024"
Very smooth and easy booking,No body text,"Date of experience: June 30, 2024"
Easy for an amateur,Easy for an amateur,"Date of experience: June 30, 2024"
Easy process,No body text,"Date of experience: June 30, 2024"
Very easy to book,No body text,"Date of experience: June 30, 2024"
Easy to use site!,No body text,"Date of experience: June 30, 2024"
Easy to navigate and book.,No body text,"Date of experience: June 29, 2024"
Easy to book.  Love the EBB Suite,"Easy to book.  Best hotel in Dunedin, perhaps NZ","Date of experience: June 29, 2024"
Fair Price,"All Good with the Booking made today. I tried honing your phone number for making a booking, later found that making a booking via internet was useful.","Date of experience: June 29, 2024"
Easy to deal with!,No body text,"Date of experience: June 28, 2024"
Great deal!,No body text,"Date of experience: June 28, 2024"
Easy/quick process is great,Easy/Quick process was great,"Date of experience: June 28, 2024"
Ease of use,Ease of use. Thank you,"Date of experience: June 28, 2024"
I was able to book a reservation…so easily!,"I was able to book a reservation without any hassles> that was GREAT!  I'm so tired of struggling with making plans. It was simple, informative, and easy. I will definitely recommend you to others.","Date of experience: June 28, 2024"
Easy to use,It was very easy to use.  The information was well presentrd.,"Date of experience: June 28, 2024"
Instant booking and no problems,instant and no problems,"Date of experience: June 28, 2024"
It was great ‘ so easy,It was great ‘ so easy,"Date of experience: June 28, 2024"
Quick = Great,Quick = Great,"Date of experience: June 27, 2024"
Easy and intuitive to use,"Easy, intuitive and informative.","Date of experience: June 27, 2024"
Very direct and helpful,Very direct and helpful. Hopefully the discounts wiLl help the price. Love that you are connected to a bridge to hospital.,"Date of experience: June 27, 2024"
Upcoming 50 Year BHSN & BHSS 50-year class reunion.,Easy to navigate.  Good availability.  Found good deal on room for night I'll be staying.  In town for the BHSN & BHSS 50-year class reunion.,"Date of experience: June 27, 2024"
It will be great if not charged until I…,It will be great if not charged until I book out but so not great if charged today!,"Date of experience: June 27, 2024"
It was seamless,No body text,"Date of experience: June 27, 2024"
Booking is so easy..just like counting…,Booking is so easy..just like counting 1 - 2 - 3,"Date of experience: June 26, 2024"
Easy peasy,"Fast, easy search options.  Booked remotely.","Date of experience: June 26, 2024"
Convenient and good value for a late arrival/ early departure,"Easy and simple to find the rates and book. I have stayed here before, it is close to the airport and the rates are good for the facilities and convenience","Date of experience: June 26, 2024"
Hassle Free,"Clear, easy to follow, hassle free.","Date of experience: June 25, 2024"
So simple & straightforward,So simple & straightforward. No complications at all. I can't wait until July 30th! This will be my first time staying here.,"Date of experience: June 25, 2024"
I found the site easy to use.,No body text,"Date of experience: June 25, 2024"
The website is easy to work and complete so special concerns are easily managed,Website works very well,"Date of experience: June 24, 2024"
Very easy…..thanks.,No body text,"Date of experience: June 25, 2024"
Very easy to book a room.,No body text,"Date of experience: June 25, 2024"
Easy to use,"Easy to use, intuitive","Date of experience: June 25, 2024"
smooth!!!!,No body text,"Date of experience: June 24, 2024"
Brilliant,"Staff service, from when you get greeted at the door to when you use the restaurant facility brilliant. Te Arikinui Pullman 🙌🙌","Date of experience: April 09, 2024"
Website very easy to navigate,"Website very easy to navigate, considering I have issues with computers etc this was a piece of cake.","Date of experience: June 24, 2024"
Easy to understand,Easy to understand. Fast.,"Date of experience: June 24, 2024"
"Super simple easy going,straight…","Super simple easy going,straight foward! Thanks","Date of experience: June 24, 2024"
Simple Booking,This was one of the simplest booking processes!,"Date of experience: June 23, 2024"
Speedy Gonzalez,Works well but needs dog reservation capacity,"Date of experience: June 23, 2024"
Great place!,"Very nice place, beautifully decorated. 2 suggestions for improving the rooms. I'm a senior citizen with Parkinsons disease,  so using the shower made me feel unsafe. Maybe install a grab bar in each shower and put some type of rubber mat on the tub floor.  The second recommendation is offer softer mattresses.  The mattress on the bed is way too hard. My husband and I both woke up each day with backache. Other than that, a great place to stay! We stayed June 21st and 22nd.","Date of experience: June 21, 2024"
Was easy and fast,Was easy and fast,"Date of experience: June 23, 2024"
Just thumbs up!,Just thumbs up!Got an upgrade for superb rate.,"Date of experience: June 23, 2024"
BOOKING COST …,We were advised after our last visit if we booked direct with you we would save a little from the on line booking sites  The online price for 5 nights is $1190 and and the direct booking just charged is $1250,"Date of experience: June 23, 2024"
Jim Hayek We pre booked for 3days and 2…,"Jim Hayek We pre booked for 3days and 2 nights. We had previous done the same thing 6 years previous, for wood boat show. We were participants. We arrived and they had us booked in room way off destination. We argued until they gave us our booking but wanted to charge $20,00 extra per night. We said we would check in and battle price later. Room was different. Bed was like an  old used mattress. Room cleaning was always late. We felt like we were marked. So this year we are skipping show and stay. Kiss off Abbey.","Date of experience: September 29, 2023"
the site did not allow me to put in…,the site did not allow me to put in promo codeGETAWAY,"Date of experience: June 22, 2024"
Very easy,"Very easy, I’ll let you know when I get there how they did with processing it.","Date of experience: June 22, 2024"
This website is so much easier to use…,This website is so much easier to use than the old one. So simple. Love it!,"Date of experience: June 22, 2024"
Web site understandable and easy to use,No body text,"Date of experience: June 22, 2024"
Quick and accurate,No body text,"Date of experience: June 22, 2024"
So easy to use,No body text,"Date of experience: June 22, 2024"
Easy Booking,Website was very informative and easy to book with.,"Date of experience: June 21, 2024"
Easy booking process to follow.,No body text,"Date of experience: June 22, 2024"
It was a user friendly reservation and…,It was a user friendly reservation and cheaper than calling hotel directly,"Date of experience: June 21, 2024"
Quick & easy,No body text,"Date of experience: June 21, 2024"
These people are masquerading as the…,"These people are masquerading as the actual website when they are not. It is so masqueraded you may not even know it is them until you get the confirmation email, so if you can determine it is them then run, run away!!!","Date of experience: June 21, 2024"
Quick and easy!,No body text,"Date of experience: June 21, 2024"
User friendly website!,No body text,"Date of experience: June 21, 2024"
Found it very easy to book and find out…,Found it very easy to book and find out pricing photos looks good and we love the upgrades and how fresh the rooms and grounds look in the photos,"Date of experience: June 21, 2024"
website is very user friendly.,website is very user friendly.Had no problem navigating & booking. Very easy process.,"Date of experience: June 20, 2024"
The website is easy to use and provides…,The website is easy to use and provides all necessary information.,"Date of experience: June 20, 2024"
Very easy to book stay,No body text,"Date of experience: June 21, 2024"
The website was easy to use,No body text,"Date of experience: June 20, 2024"
The reservation process was quick,"The reservation process was quick, easy and safe. Can't wait to experience the hotel","Date of experience: June 20, 2024"
Simple to reserve online,Simple to reserve online. Not a bunch of extra questions.,"Date of experience: June 20, 2024"
Booking a room,It was easy to see what was available and to book after choosing room type was simple.,"Date of experience: June 19, 2024"
"Sadly, some of the charm is gone",The type used to represent the hotel amenities was archaic at best. The hotel amenities were very poorly written.  Food and Drink simply had a box that said free breakfast!  Sounds like the Red Roof Inn may have written it. Also the photos of the rooms did not really specify which of the 2 queen rooms you may be booking.  Better photos are needed and a chat with the Inn which I have always done was much more friendly and within the charm and graciousness of Douglas!,"Date of experience: June 19, 2024"
Website is easy,Easy Peasy. Chose bc close to cruise port & shuttle is available:),"Date of experience: June 19, 2024"
Very easy to navigate,No body text,"Date of experience: June 19, 2024"
quick & easy to  book a room,No body text,"Date of experience: June 19, 2024"
Easy booking,Easy Peasy booking,"Date of experience: June 19, 2024"
Booking again at a great hotel,Being able to make a booking quickly on a very easy and user friendly site.,"Date of experience: June 19, 2024"
Very simple booking,Very simple booking. I can’t wait for our stay in New Smyrna Beach.,"Date of experience: June 18, 2024"
Easy to use,Easy to useSimple details,"Date of experience: June 18, 2024"
Viking Shores N.Eastham Cape Cod BED BUGS,"Room infested with BED BUGS, suffered BED BUG bites!  Advertised breakfast and NO BREAKFAST PROVIDED. Room was Dirty FILTHY, plumbing Leaking in Bathroom. This Place is HORRIBLE!","Date of experience: June 08, 2024"
Quick,Quick. Easy to navigate,"Date of experience: June 16, 2024"
Got it done quickly,No body text,"Date of experience: June 17, 2024"
Very easy to book room.,No body text,"Date of experience: June 17, 2024"
FAST AND SUCCINCT DESCRIPTIONS. Good photos. Excellent functionality.,FAST AND SUCCINCT DESCRIPTIONS,"Date of experience: June 17, 2024"
I stress a lot about making hotel…,I stress a lot about making hotel reservation but this was really easy.,"Date of experience: June 17, 2024"
Easy to navigate site.,Easy to navigate site.,"Date of experience: June 17, 2024"
Very quick and easy,No body text,"Date of experience: June 17, 2024"
Easy easy easy!!!,No body text,"Date of experience: June 17, 2024"
Easy to mauve,No body text,"Date of experience: June 17, 2024"
Informative and easy to navigate,Informative and easy to navigate,"Date of experience: June 17, 2024"
Quick and easy and well priced incl…,Quick and easy and well priced incl parking,"Date of experience: June 17, 2024"
Quick and easy,No body text,"Date of experience: June 16, 2024"
The site was so easy to use,The site was so easy to use. I made my reservation in just a few minutes!,"Date of experience: June 16, 2024"
Easy as pie!,No body text,"Date of experience: June 17, 2024"
Booking was easy,Booking was easy,"Date of experience: June 17, 2024"
Just very easy and simple to use and…,Just very easy and simple to use and you can easily distinguish the different options and rooms,"Date of experience: June 16, 2024"
So easy to use and without a whole lot…,So easy to use and without a whole lot of useless questions that are sometimes featured on other accommodation booking sites,"Date of experience: June 16, 2024"
So easy,"So easy, fast, and would recommend to others","Date of experience: June 15, 2024"
Booking was easy,No body text,"Date of experience: June 15, 2024"
All very clear,No body text,"Date of experience: June 15, 2024"
Nice website design,"The website is clear and easy to explore.My only issue is when booking for a wedding, there was no place to enter the wedding discount code.","Date of experience: June 15, 2024"
Easy to use MUCh simpler than the big…,Easy to use MUCh simpler than the big guys,"Date of experience: June 14, 2024"
The comfortable and peaceful suite…,The comfortable and peaceful suite offers an affordable retreat for a weekend getaway in Hope. The staff members are exceptional.,"Date of experience: June 07, 2024"
Easy to navigate,Easy to navigate,"Date of experience: June 14, 2024"
The process booking and checkout…,"The process booking and checkout process was seamless. I love staying at the Penny, it's the best place to stay in NY! It's the only hotel I use in NY.","Date of experience: June 14, 2024"
Room is very cleanCleanliness and customer care,Cleanliness and customer care,"Date of experience: June 14, 2024"
Very easy booking a room,No body text,"Date of experience: June 14, 2024"
I am concerned about the details…,I am concerned about the details required for the booking. Every time l book by my credit card on all other bookings I don’t need to give my home address etc. Consequently I will not use this platform again. What will you do if I am scammed given all of my private details? The only reason I am going with this accomodation site this time is because it’s an emergency.,"Date of experience: June 14, 2024"
Fast and clearly described,No body text,"Date of experience: June 13, 2024"
Information was easy to process and the…,Information was easy to process and the on line booking was easy to accomplish.,"Date of experience: June 14, 2024"
HotelsOne is a booking agent not a hotel.,"This company is not a hotel but an online travel agent. A lot of the reviews here seem as if they're actually for the hotel people stayed at, not the booking company. While it might look as if you're booking directly with your hotel, you aren't.","Date of experience: June 14, 2024"
Very easy to navigate.,No body text,"Date of experience: June 13, 2024"
It was quick and simple.,No body text,"Date of experience: June 13, 2024"
All good I just want to be sure I…,All good I just want to be sure I receive my confirmation,"Date of experience: June 13, 2024"
Web site was easy to follow and easy to…,Web site was easy to follow and easy to use.  I booked a cabin in about 2 minutes.,"Date of experience: June 13, 2024"
I found a great rate at a good hotel…,I found a great rate at a good hotel close to my destination,"Date of experience: June 13, 2024"
Quick and easy online booking,No body text,"Date of experience: June 13, 2024"
Nice and easy to book a room,Nice and easy to book a room - Thank You!,"Date of experience: June 13, 2024"
Quick and Simple,"It was easy to book, availability was quick and simple to check, best price available.","Date of experience: June 13, 2024"
Impossible to  speak to Motel directly!,"Prefer to phone Motel direct, but the tel # had a voice-mail with no clue as to when my call would be returned. I then phoned the toll free # listed on the website, which was manned by a person whose English was so bad, I couldn't understand him.  He gave me the motels direct # which I had already tried, very frustrating.I don't like having to book through a 3rd party. Having said that, the process was OK.","Date of experience: June 13, 2024"
Very easy to book,No body text,"Date of experience: June 13, 2024"
Ease of site navigation,No body text,"Date of experience: June 13, 2024"
ease of booking,ease of booking our daughter is staying also the same dates we have requested to be near them and ocean view so our grandchildren wake up and see the Disney ship which we are going on,"Date of experience: June 13, 2024"
Very easy to use!,No body text,"Date of experience: June 12, 2024"
I found what I needed and had some good…,I found what I needed and had some good choices.,"Date of experience: June 12, 2024"
Easy easy fast,No body text,"Date of experience: June 11, 2024"
"Fast, easy booking","Fast, easy.","Date of experience: June 11, 2024"
PIAA finals,No body text,"Date of experience: June 11, 2024"
Simple,"Simple, non-confusing reservation procedure.","Date of experience: June 11, 2024"
Easy to book.,No body text,"Date of experience: June 11, 2024"
Account,Easy to use on this website,"Date of experience: June 11, 2024"
Easy to book!,So easy and quick to book.,"Date of experience: June 11, 2024"
was easy to use,No body text,"Date of experience: June 11, 2024"
Easy to use website.,No body text,"Date of experience: June 11, 2024"
Easy to navigate and easy to populate…,Easy to navigate and easy to populate details.,"Date of experience: June 11, 2024"
easy to follow,No body text,"Date of experience: June 11, 2024"
Swana Hotel,It was very easy to use,"Date of experience: June 11, 2024"
So far so good.,No body text,"Date of experience: June 10, 2024"
Access,Very easy to use on my iPad.,"Date of experience: June 10, 2024"
Already stayed here once and it was…,Already stayed here once and it was great,"Date of experience: March 26, 2024"
Experience GOOD,No body text,"Date of experience: June 10, 2024"
The site was easy to navigate,The site was easy to navigate,"Date of experience: June 10, 2024"
Super easy to use and fast,"Super easy to use and fast, highly recommend.","Date of experience: June 10, 2024"
The booking went very smoothly.,No body text,"Date of experience: June 09, 2024"
Easy and fast,No body text,"Date of experience: June 09, 2024"
Easy to book,No body text,"Date of experience: June 09, 2024"
Very simple to use site to book hotel,Very simple to use site to book hotel,"Date of experience: June 08, 2024"
